,body_shape,colour,condition,displacement,fuel,has_mfk,performance,price,curb_weight,registration_age,mileage,brand
0,Strasse,schwarz,Neu,947.0,Benzin Bleifrei,True,125.0,9890,285.0,0,1.0,Kawasaki
1,Strasse,rot,Neu,947.0,Benzin Bleifrei,True,125.0,9890,285.0,0,1.0,Kawasaki
2,Strasse,grün,Neu,947.0,Benzin Bleifrei,True,125.0,9890,285.0,0,1.0,Kawasaki
3,Strasse,schwarz,Occasion,948.0,Benzin Bleifrei,True,125.0,11990,285.0,0,10.0,Kawasaki
4,Strasse,grau,Occasion,649.0,Benzin Bleifrei,True,48.0,10500,262.0,12,10.0,Kawasaki
5,Strasse,schwarz,Neu,947.0,Benzin Bleifrei,True,125.0,9890,285.0,0,1.0,Kawasaki
6,Strasse,rot,Occasion,750.0,Benzin Bleifrei,False,76.0,3900,220.0,340,48000.0,Kawasaki
7,Strasse,grau,Occasion,498.0,Benzin Bleifrei,False,27.0,3600,274.0,257,3500.0,Kawasaki
8,Strasse,Sonstiges,Occasion,499.0,Andere,False,34.0,2750,380.0,245,19390.0,Kawasaki
9,Chopper,grau,Occasion,124.0,Benzin Bleifrei,False,11.0,1900,223.0,245,11597.0,Kawasaki
10,Chopper,rot,Occasion,124.0,Benzin Bleifrei,False,12.0,2800,223.0,245,31200.0,Kawasaki
11,Chopper,schwarz,Occasion,1471.0,Benzin Bleifrei,False,53.0,5800,391.0,201,24800.0,Kawasaki
12,Strasse,Sonstiges,Occasion,1199.0,Andere,False,178.0,2500,428.0,208,5000.0,Kawasaki
13,Strasse,Sonstiges,Occasion,1165.0,Andere,False,34.0,4490,321.0,208,20995.0,Kawasaki
14,Strasse,grau,Occasion,1199.0,Andere,False,178.0,4490,318.0,208,20400.0,Kawasaki
15,Strasse,schwarz,Occasion,497.0,Benzin Bleifrei,False,34.0,4400,274.0,199,43900.0,Kawasaki
16,Strasse,blau,Occasion,998.0,Benzin Bleifrei,False,174.0,4500,283.0,175,29409.0,Kawasaki
17,Strasse,Sonstiges,Occasion,748.0,Andere,True,110.0,3000,398.0,173,47000.0,Kawasaki
18,Strasse,schwarz,Occasion,649.0,Benzin Bleifrei,True,72.0,3999,279.0,164,12294.0,Kawasaki
19,Strasse,grün,Occasion,997.0,Benzin Bleifrei,False,174.0,5800,271.0,164,13000.0,Kawasaki
20,Strasse,gelb,Occasion,649.0,Benzin Bleifrei,False,72.0,3050,277.0,163,15390.0,Kawasaki
21,Chopper,schwarz,Occasion,1553.0,Benzin Bleifrei,False,73.0,5500,392.0,162,65500.0,Kawasaki
22,Chopper,blau,Occasion,903.0,Benzin Bleifrei,True,50.0,4500,357.0,139,21100.0,Kawasaki
23,Strasse,orange,Occasion,953.0,Andere,False,125.0,5900,303.0,129,18806.0,Kawasaki
24,Strasse,schwarz,Occasion,953.0,Andere,False,125.0,6900,303.0,129,19552.0,Kawasaki
25,Strasse,schwarz,Occasion,599.0,Benzin Bleifrei,False,34.0,7500,275.0,128,5000.0,Kawasaki
26,Strasse,grün,Occasion,998.0,Andere,False,188.0,6800,283.0,127,25200.0,Kawasaki
27,Touring,Sonstiges,Occasion,1352.0,Andere,True,155.0,6500,508.0,125,42000.0,Kawasaki
28,Strasse,schwarz,Occasion,1043.0,Benzin Bleifrei,False,138.0,7880,293.0,117,18000.0,Kawasaki
29,Strasse,weiss,Occasion,998.0,Andere,False,188.0,6800,283.0,116,22550.0,Kawasaki
30,Strasse,Sonstiges,Occasion,1043.0,Andere,False,138.0,5900,408.0,114,41000.0,Kawasaki
31,Strasse,grün,Occasion,649.0,Benzin Bleifrei,True,72.0,2800,275.0,114,37000.0,Kawasaki
32,ATVQuad,grün,Occasion,697.0,Benzin Bleifrei,False,20.0,7290,315.0,114,8202.0,Kawasaki
33,Chopper,Sonstiges,Occasion,1699.0,Andere,False,73.0,8000,563.0,105,24500.0,Kawasaki
34,Strasse,weiss,Occasion,748.0,Andere,False,106.0,5700,293.0,105,20200.0,Kawasaki
35,Strasse,weiss,Occasion,649.0,Andere,False,72.0,3550,283.0,103,30100.0,Kawasaki
36,Touring,grau,Occasion,1043.0,Andere,False,118.0,7900,314.0,93,9657.0,Kawasaki
37,Strasse,schwarz,Occasion,748.0,Benzin Bleifrei,False,106.0,5880,293.0,93,32750.0,Kawasaki
38,Strasse,grün,Occasion,1043.0,Andere,False,138.0,6990,293.0,91,26300.0,Kawasaki
39,Strasse,schwarz,Occasion,748.0,Benzin Bleifrei,False,106.0,6500,293.0,89,25600.0,Kawasaki
40,Chopper,schwarz,Occasion,1700.0,Andere,False,75.0,7500,420.0,87,25200.0,Kawasaki
41,Scooter,schwarz,Occasion,298.0,Benzin Bleifrei,True,27.0,3600,266.0,69,15000.0,Kawasaki
42,Scooter,grün,Occasion,298.0,Benzin Bleifrei,False,27.0,3550,266.0,69,17150.0,Kawasaki
43,Strasse,schwarz,Occasion,806.0,Andere,False,95.0,7400,301.0,69,8829.0,Kawasaki
44,Touring,anthrazit,Occasion,1043.0,Andere,False,118.0,6970,314.0,69,15100.0,Kawasaki
45,Strasse,weiss,Occasion,806.0,Andere,False,48.0,5900,301.0,69,20600.0,Kawasaki
46,Strasse,grün,Occasion,296.0,Benzin Bleifrei,False,34.0,5300,247.0,69,11500.0,Kawasaki
47,Strasse,Sonstiges,Occasion,806.0,Andere,False,112.0,7800,409.0,66,3293.0,Kawasaki
48,Touring,gelb,Occasion,649.0,Andere,False,34.0,5300,284.0,66,2650.0,Kawasaki
49,Touring,grau,Occasion,1352.0,Andere,True,155.0,12900,383.0,62,16850.0,Kawasaki
50,Chopper,violett,Occasion,649.0,Benzin Bleifrei,True,61.0,6500,300.0,57,8100.0,Kawasaki
51,Strasse,schwarz,Occasion,773.0,Benzin Bleifrei,True,48.0,13950,292.0,57,4550.0,Kawasaki
52,Strasse,grau,Occasion,998.0,Andere,True,200.0,18900,313.0,56,4750.0,Kawasaki
53,Strasse,grau,Occasion,998.0,Andere,True,200.0,21800,313.0,56,3853.0,Kawasaki
54,Chopper,grün,Occasion,806.0,Andere,True,74.8,7890,420.0,56,6300.0,Kawasaki
55,Strasse,schwarz,Occasion,806.0,Benzin Bleifrei,True,112.0,8000,304.0,54,5200.0,Kawasaki
56,Strasse,weiss,Vorführmodell,806.0,Benzin Bleifrei,True,112.0,8250,304.0,54,870.0,Kawasaki
57,Chopper,violett,Occasion,649.0,Benzin Bleifrei,True,61.0,6800,300.0,54,16400.0,Kawasaki
58,Strasse,weiss,Occasion,296.0,Benzin Bleifrei,True,39.0,5880,243.0,45,10.0,Kawasaki
59,Strasse,schwarz,Occasion,998.0,Andere,True,200.0,12400,276.0,43,20300.0,Kawasaki
60,Strasse,schwarz,Occasion,806.0,Benzin Bleifrei,True,113.0,7490,304.0,43,2500.0,Kawasaki
61,Strasse,grün,Occasion,649.0,Benzin Bleifrei,True,72.0,4490,279.0,41,6506.0,Kawasaki
62,Chopper,beige,Occasion,649.0,Benzin Bleifrei,True,61.0,7500,300.0,37,9900.0,Kawasaki
63,Strasse,schwarz,Occasion,998.0,Andere,True,200.0,12900,276.0,36,8700.0,Kawasaki
64,Chopper,schwarz,Occasion,650.0,Benzin Bleifrei,True,48.0,6900,300.0,36,8500.0,Kawasaki
65,Strasse,grau,Occasion,948.0,Benzin Bleifrei,True,125.0,8880,285.0,33,6900.0,Kawasaki
66,Strasse,grün,Occasion,1043.0,Benzin Bleifrei,True,142.0,10480,305.0,33,20700.0,Kawasaki
67,Strasse,schwarz,Occasion,948.0,Benzin Bleifrei,True,125.0,8950,285.0,33,10985.0,Kawasaki
